Ecological Region,2011,2012,In Rupees
Central ,397284400,779484640,
Hill ,294197900,212854540,
Mountain ,5575000,2727000,
Terai ,97511500,563903100,
Eastern ,589648900,500821717,
Hill ,100257200,143264850,
Mountain ,21958700,179413900,
Terai ,467433000,178142967,
Far Western ,40398500,38160500,
Hill ,4131500,880000,
Mountain ,14480000,65000,
Terai ,21787000,37215500,
Mid Western ,188475397,59161250,
Hill ,25990619,30361350,
Mountain ,19500778,16196900,
Terai ,142984000,12603000,
Western ,78149800,73990900,
Hill ,52220000,55450900,
Mountain ,2015000,1019000,
Terai ,23914800,17521000,
